function_entry	function_name	string
ffffffffbfc1e094	do_bootoctelf	Allocating memory for ELF: Base addr, 0x%x, size: 0x%x\n
ffffffffbfc1e094	do_bootoctelf	Error allocating memory for ELF image!\n
ffffffffbfc1e094	do_bootoctelf	ERROR: only loading of 32 bit  ELF images is supported\n
ffffffffbfc1e094	do_bootoctelf	## ERROR loading File!\n
ffffffffbfc1e094	do_bootoctelf	## Loading ELF image with entry point: 0x%08lx ...\n
ffffffffbfc1e094	do_bootoctelf	ERROR setting up boot descriptor block, core_mask: 0x%qx\n
ffffffffbfc1e094	do_bootoctelf	ERROR setting boot vectors, core_mask: 0x%qx\n
ffffffffbfc1e094	do_bootoctelf	Bootloader: Done loading app on coremask: 0x%x\n
ffffffffbfc1e7b0	FUN_ffffffffbfc1e7b0	autoscr
ffffffffbfc1e8e8	FUN_ffffffffbfc1e8e8	printenv
ffffffffbfc1e8e8	FUN_ffffffffbfc1e8e8	setenv
ffffffffbfc1e958	FUN_ffffffffbfc1e958	v200w# 
ffffffffbfc1e958	FUN_ffffffffbfc1e958	autoscr
ffffffffbfc1e958	FUN_ffffffffbfc1e958	command:gpio r gpio_number  or gpio w gpio_number value\n 
ffffffffbfc1e958	FUN_ffffffffbfc1e958	\n[This application is accord with GPL rule.]\n\n\n\n\n
ffffffffbfc1ef1c	do_version	U-Boot 1.1.1 (Development build, svnversion: 193M) (Build time: Jun 14 2012 - 15:20:38)
ffffffffbfc1eff8	do_qmark	- No help available.\n
ffffffffbfc1eff8	do_qmark	Unknown command '%s' - try 'help' without arguments for list of all known commands\n\n
ffffffffbfc1f440	FUN_ffffffffbfc1f440	## Loading Linux kernel with entry point: 0x%08qx ...\n
ffffffffbfc1f5b4	FUN_ffffffffbfc1f5b4	stdin
ffffffffbfc1f5b4	FUN_ffffffffbfc1f5b4	stdout
ffffffffbfc1fa80	FUN_ffffffffbfc1fa80	Cannot initialize the list of devices!\n
ffffffffbfc1fa80	FUN_ffffffffbfc1fa80	serial
ffffffffbfc1fcb0	FUN_ffffffffbfc1fcb0	## Loading Linux kernel with entry point: 0x%08qx ...\n
ffffffffbfc20fa4	FUN_ffffffffbfc20fa4	bootdelay=0
ffffffffbfc21230	FUN_ffffffffbfc21230	*** Warning - bad CRC, using default environment\n\n
ffffffffbfc21230	FUN_ffffffffbfc21230	bootdelay=0
ffffffffbfc21354	FUN_ffffffffbfc21354	Erasing Flash...
ffffffffbfc21354	FUN_ffffffffbfc21354	Writing to Flash... 
ffffffffbfc21354	FUN_ffffffffbfc21354	done\n
ffffffffbfc217d0	FUN_ffffffffbfc217d0	## Loading Linux kernel with entry point: 0x%08qx ...\n
ffffffffbfc217d0	FUN_ffffffffbfc217d0	Timeout writing to Flash\n
ffffffffbfc217d0	FUN_ffffffffbfc217d0	Flash not Erased\n
ffffffffbfc217d0	FUN_ffffffffbfc217d0	Can't write to protected Flash sectors\n
ffffffffbfc217d0	FUN_ffffffffbfc217d0	Outside available Flash\n
ffffffffbfc217d0	FUN_ffffffffbfc217d0	Start and/or end address not on sector boundary\n
ffffffffbfc217d0	FUN_ffffffffbfc217d0	Unknown Vendor of Flash\n
ffffffffbfc217d0	FUN_ffffffffbfc217d0	Unknown Type of Flash\n
ffffffffbfc217d0	FUN_ffffffffbfc217d0	General Flash Programming Error\n
ffffffffbfc217d0	FUN_ffffffffbfc217d0	flash.c
ffffffffbfc217d0	FUN_ffffffffbfc217d0	%s[%d] FIXME: rc=%d\n
ffffffffbfc220c0	FUN_ffffffffbfc220c0	PHY 1000BT Status read failed\n
ffffffffbfc220c0	FUN_ffffffffbfc220c0	PHY duplex read failed, assuming half duplex\n
ffffffffbfc22198	FUN_ffffffffbfc22198	PHY 1000BT Status read failed\n
ffffffffbfc22198	FUN_ffffffffbfc22198	PHY speed1 read failed, assuming 10bT\n
ffffffffbfc2225c	FUN_ffffffffbfc2225c	PHY reset timed out\n
ffffffffbfc227b0	FUN_ffffffffbfc227b0	isassign=0\n
ffffffffbfc227f0	FUN_ffffffffbfc227f0	isassign=1\n
ffffffffbfc22834	FUN_ffffffffbfc22834	FWCHKADDISABABA
ffffffffbfc22834	FUN_ffffffffbfc22834	\n\n\nchecking fw magic ... ...\n
ffffffffbfc22834	FUN_ffffffffbfc22834	Image name         : %s\n
ffffffffbfc22834	FUN_ffffffffbfc22834	Image size         : %d bytes\n
ffffffffbfc22834	FUN_ffffffffbfc22834	Magic Word         : %s\n
ffffffffbfc22bd4	do_http	cal_net_pkt:%x
ffffffffbfc22bd4	do_http	\n[This application is accord with GPL rule.]\n\n\n\n\n
ffffffffbfc22c88	do_assign	\n[This application is accord with GPL rule.]\n\n\n\n\n
ffffffffbfc22d1c	do_download	\n[This application is according with GPL rule.]\n\n
ffffffffbfc22d1c	do_download	flash base:%x\n
ffffffffbfc22dc4	FUN_ffffffffbfc22dc4	boot enable is %08X\n
ffffffffbfc23000	FUN_ffffffffbfc23000	 %cB%s
